Account,Number_of_accessories
0c06a27a8a3d85ce5712f95d150007f6d49d358b2f2d8fdacb40fc3de891c09f,0 
594d5170135e422e37d4000ed2560c7d7424fb5128db8f48fbbf708b4f099823,2 
9cab3f4db668b3ff71454a59f11220ecf55712981678811d7fafc1ad82818af1,0 
d25bd629e9fa73a03e16263fdb642c6e53c602f66ac811d56e1afabfdb479cb6,0 
2aedf025918ea8897a3e7f2b6d1f1904a895c839ca148e529f832d11f83b0a72,2 
6362025582128623d1685c4fa9ef6ef603715dcc6b2544112259f95e489da363,0 
c1ba3076392cb1d73624644c6494fe3aa0aadbf4109d4f94805621989c6285cb,2 
50085997b7affc30d1ab602b3272edadd29c8ebda909e68bc83258ffbd7cf188,2 
9d060d3985a986c79f885e9a7dd2dcd688d4eb876f356efc1c516917d054aa91,2 
d49012ccd3ff7b0e3efc6137b5342cf7e59095ed2c7703a57605b37669dc019c,3 
b9009ab96210362d022d499abe0ec869401937dc1cb0ad9d030b4da1592951d5,0 
f12533ec985a1fd17280dd2c5af7af06c72cfed02785fa53a638d1cc388a0baf,0 
f5d1334900357565779d644eb624c3df1b8988c2e76fb07f8c5aa75bb5ce2709,0 
6bcee1d4c89de24ff8da07da4753190ec812d8e44797ca0105df05b35a8ea6e3,2 
7131189bdc4197016a74ed24d144963692559cff1dbe0ef5626500d0bd8223d4,0 
317511d14458186e1932d9aec6ec2ea9dc2c65128d9f7f4803b6039cbaa51bfc,1 
32d40860d26f83c2d847c2066a79a9fb4cb9692a3e24fef84818f1810bacf536,0 
1c60a3a4c7b9f1c16e2452c50bf51e15a0b2f7fbe338110470d65db7fee7db84,0 
ee25031e70daa778df28b6b1a89b313511cfbd6a04c14e731e9f9ed347348422,1 
87a71a9139e2a75aaf424752ab6a1f0b26cbdf5dbd9687a1eb3faac433d89bcb,1 
6f019827af6a0c5c8662892ef9dc1a948a16279de6b32196508406bd5991d2b0,2 
edeb0243d99d548750cc4f88857d5e546a6966882accaf3cd20c69d418eba01e,0 
0c5473514387a3386d015e176452cd115c83b56960f363ff1449cb3268114f32,0 
a3be89950d32c0ab92948e8154081e0617bb5dec6a889417370cb4f6decd11e0,0 
6194e2edc7bca80b83ad6f8d69f7e6660ba76b15165f536229513e5c9b865ff3,0 
c92970bf787be248afd0b8669b77537351aee79f38d93cb4078a7c614df15236,3 
685ab655f0cbc9733fd2f785a859d6ea7859b0b8ac00316d5946728f5a199c13,2 
9759366a1475f7fc6efb1a0fe7f077a42b3d567015688d91a52598ee91fe0748,0 
5fcb43b704148f6528e14fb2fed3daf84094a842f051b4eee57b83740e9bd690,2 
b095f7abc72a3854caf1a0b5f96de9aca44c6c157883d6aeadb37701b1f10f81,0 
3ceae07163b12c9599e7bcbc392bd6b71cf1cde78e368cb9efa6c3164c1621dd,0 
94bac62887932b20bc9d70a577a9b3890860a25aa122bb34a841a55a95a33d6e,0 
50874e3e047174dadcdbb821633f5b658f701b705722a5e475101a8451fcbd26,0 
c2545cf989a14e6169d2598df31930d4dfdbfa8e5dea4b0ac8ff9fb43cd7b618,0 
c5a19459bebf8089449de1335f5d69a3831f73fe82838707267153d111be7f08,0 
b5c3788ec53d5fe41b95ee50d51ecf9b185bab18917686d0ca7fb147cda7a834,1 
7c7ae7c9821bd08aa0c17b05053dfa35ad27de1c5ff8d1067f298ce7446774df,2 
20b15714819daf8e53040c08c73214eee53ef81c2a91c4665f96767e30db36fd,0 
e7daca6545c6902ee809839a2523da9b7ca199f2f8a00aaa932614e19bc4c8d8,0 
b6b38e1e7b6d8a775d48b1962f35d3fa735a4bdbdc6592834ea17063fe32b016,1 
55f9e1be417e2bcb0501071e532d7eeb4e2af56c9dd2e195d04203ce0543eecb,0 
1bc9d087056043fd5c44a0f37123e570d914a087c87fb59c7e566095ea512ae4,0 
496ae69ebe9b5cb721c7a85ea509611336e92002dc61521c87acbd6dcc43c554,1 
16e3be893a79bdcabb06e7f052c427028336b629ad94f4d860f85ecee72f90f3,2 
bc10a386f084f915b3dd2cf59f0a9213886a1825aaece964984d0516eb9553da,2 
f49c0bf4093c0dc1bc52f582727e9b8b3456eab3b58f636e9cca1a3887a312aa,1 
ef4901e11956f3f58b0ac8485b73f129b6236d64590d38ef939eee9d088211c1,1 
f83cd2085a4ec7cadfc1f64a872ed59119a5a19f1d57b2f387467e9c5f209980,6 
c60e4bc2c1e66cb8fb2230faeea27e8639a65f19090119ed1f6cf1b959270ba2,2 
baf8847cb12d1b6d2b94abb3c6e0a58f708c1d857d84488d236bae7cc17ea124,1 
60b44bef82ac1e510d98c565a61e2418671a91b8b8c94ee84a4f338c5fc73c37,0 
5732855bbe78554dea2bb47a36f55bbf6236d4fcc1911a33d8781e10ca6e3d13,0 
b7b7cf39a1c38f95ba7332c11583ed9293e69f6e34714b7bb97b7ebfd9e3cf49,0 
bcf0d6f0f9b27090196c26ec616793a92ddc4e38214adcf553a22b0230021763,0 
0bdc0b8f47e0df09dc69b7c2d203880a6737489eed5f09229967ec55548f0693,0 
09e3ca1d8f6231dfe26850103546583d20759a046b7fcef05d392ee01699b8de,1 
fe963dd9deff9ec8414ccd6403e10e94373002934e6c0bbd652b10f81ead0164,0 
c503d5cd17ffde21a3aa12cd9cff31222190c8f39353e2375ee303482631d966,2 
29d2cd931065cf3be11a93d218133bfa1bbed11586cd5f924bc1105f20fd0d6a,0 
604d2a90e43196181da253ce2323e8b5929d46caa0a45683ad53eff7af1726e9,0 
9941abae732e4ad3c8edf77ec2508ff8e31edf3d37fdff11fe5cdd770a040e84,2 
b4a7a48589630bca4a25e88018d0e65311e5dca7ce1a46b2deed08bf273d9ac8,1 
0efe4ab1971277db7f6aa84b937fbd1223f89f59dae5d476ed3a24f3721da82f,0 
86c1e523ae19db4dfff560aa583abebaa9159814007284e551352dd1586e1b8f,1 
64beffe7f7534c27ba4973f1bce2f951248abba580b4f0e267433fa7727715bb,0 
b05696a2aedce1a795baea57199d86f184738471231d9feae2a39439fea0b53d,2 
47f576a60c29fc757a5d551eece391619671a3abc9f7915a583e40aab0039b2c,0 
611913520cdbcfd37f7ce361f3ec3a534537805a103a737abcb442ed80bbcd4b,1 
d357ca141cad4aff4a15d8e467a904a63c7c5c87e474e7bae097ec98ed548579,0 
f6ae75112b760ed226c653c75bb82ffe12c9df61e99cb6196c6bcdc539d81206,1 
374f475d562fc2055c9bfa98b0ff35539ebbed97d33ab52e0d5ddc355a09dc8f,2 
d2869e0193d45a67aba8b14e958bf39e90f370117a28a587464581a2f72e3633,1 
514e2e4b1317a941efb2db0c4f882e30cc604c7953b082da29eabb1c1fbddc70,1 
98533761ac1be5d5525d29d4ae2d1bbf319985e275407a672abf96a117e88da8,2 
563b9549c830ded85512e8e6ddd1ebfa23a23053dca73939b0a9a44cc9770fec,2 
aeec1cedab38d524d893a447ff0410f6c3de29ff14c0591d7173f6b3ccefb565,0 
46a22800e42309ab42bde876d547f82e81de157951a3be0021a84a7f061108a7,0 
6bfd62c2da15ae96556f46c0841125b0f173253badeb6d239c3d1d0827509a78,1 
b580670a8498920e2671ce2287767eab42a3c3ad392242d4f32ef4885759da9d,1 
e2be94621eb557504cf3b0a980f33d0b7555802e064750541611015a7ac956a6,2 
b1d877a92bd1baeccdbf89a666283d7b943a45bd8859ce14b0013b60e56af1aa,1 
327610ef3208eb584daba6389511cbc364135969019088419cce73f92ed0f2a2,1 
89211bf7a4a2a10a44a58c4252f72267d8ca8a09a3da043510e69d428f5b8183,0 
aa19cd42bf1911eeeb8d851d606fe8b0f58d33516920a46c79e46b6bd62813b8,0 
7954bf0dc2b7554e457be4df02105d2a33a1a1900636595d372cd18f5f1a2d40,1 
6f9b5d0d2df1915cc810d7a0bda5771d516771c751cfd0e8e241a3749aa9fee6,1 
9ed0bb6a80207a4a8d9dcc723ac311de5e4ff0dda8f0487afa5b9a0affb0ebb4,0 
056737a524515c5a48bb6dbb688c37dad65bb93f98b596363bf8d35568686f7d,0 
3fd3117d184dbeb7e83322d957241f28cb2e985bb462dbb3bcbbcd31131d9268,0 
d6a8f78c22ee42c733ad9fdad9fecfd7b4ceda3932863d6aafb9aee7860fb429,0 
1856f80297b5b0bb45116a82f8a130f60ea14bc6180fec5c994368b115eb6b08,0 
eb365ce3cd942896757976ee1e7c8493df4d74ee81d8568cf6887a20c36c7613,0 
7d80a9d4fa73afdf9a89ab89b0f24ea98e7c323a48802c7084c838eb983d3190,0 
5c43705fc5c1ddc083bcfe2a16f1f8b89f791c3d4c4a7b5ff998847b9a01da03,0 
36870df541416c5b94a0eb75f6bd989fd5b7031b5bc4bf2843202238d04b53bb,1 
23b5b70000cf9aac9aa7d8d64c8b03157f6a8b5e1f91cd72bed6d241168ab38d,0 
612680d9fe1a413e1b39ff9ce4ddee0d7cae94b195152b64100af6ea23a5a819,0 
8bf0573a01ad7898ea54f353fe8e4b2204476a2a7fe90c0a0423e132b050d6a7,0 
bd35196b75dcc27825a8f49fc962367915ec0d9db39a4a0a121c702a395d3f02,0 
681037a44e7f16ee666b43125ec6176b6acd107de440362c070592f3f2e1fea8,1 
3e283f1eb880bd3e8e7b12f74f8afb23885d2177d6f7f8d2d188c713aa50efb7,1 
e7717e33200a0f5e8e940f5590b3fb722db109bca08af029a7ede77df3f885b8,0 
3d3c4bfb13b89cbb4f7053dd7f2d19821572561834c6f96dec190c8b7097004c,1 
f82a0a545426477003f5be19a5b5587c6c4e1a8d2b0d3cf4d1055fc49a41d25b,2 
71d83ce61154d637dc80973bfe87e5182a6d976371a918b95117fb786d1f2da6,1 
4f179ca1bf0fdf2b56f13a68fe988a3a8d992005823397ff30a9e1fe616fb882,0 
70c963b870969a89104faac473c8d01ae7fa1da6a50c14b39d8d833d1b375195,1 
1ec6d62335be5b6b9161a55e7e9b29f71b374129f1c4277efd25fbb728414333,2 
1ad6760ec95c33771a9d7507c78afef94e681d74c2746e4127758aed65b63a0b,0 
3db41e74b5d7a42e6b8039f768acaee7f749d92e594ebb7a40e0eb1b5fe40c26,0 
d1adc28902e88e55a576d88c33c74df5bdb6b8a5f48b6e214ece73cffa053d52,0 
42fb6a82ecc0ae33f8001e974f2c8de11826601732f8f454841155c5c073d860,0 
09d1c239003221d1f053f493ee3cce04663176ac49d8d2fd9b5cbd25336d70bd,2 
31211108035a9ab2388445d029ee681eea23d70cf0482ce8e0722313c5bc2694,1 
57fb2b5382fafe451758f39203fe25c7f751cdc3cab9de5964250872161ad07f,0 
f16eab56085af9b15dadb3e3aac3cf7c1437caac9a83f787948f43f2c4e3385b,1 
7e5c2798ce9012197febd22990256f1d92020068696904273fab48d4317f9255,0 
78bc1b655d4132329a0b07228cc216d86d40ba6e270d0ee4a33582d033d0759b,1 
650891463b3cb179798a1f702b6dd0e80cbe982a4506fec4102d2c0314f1a322,1 
5765455170f0a2990f7f4fa36a3108997a8a19582f489e51f72761baf31777e6,2 
aeffae3744a37e03236d26b2eff3f1a0aeeff778937fbc1745062d05b09e863a,0 
421dac975dcbdf5911716a474b6c9feaf3c36a6bf9f43e452be77c778623bf21,0 
270d8f926d908d60ffb104e5e04ed9efcc04d09220b251c28b361d173e757a26,0 
7790e8e78b2c8abe3584bd406f5f2c8872f37e24a459da4cef997461bd911e5b,0 
17f72cfd18e9a964a9dda913f7cdb15b206789274693f3c273a73d0ce250d11a,1 
6d317596dbfbcf9bc991a30fc03bd02be83fecd69e480282f9ddb2044fd645b2,0 
f1933d6d8f6d947a2503493bba760c3af712d61b96a6273542dc4dc06d73fc64,0 
da6665dff05402491a34e6638f2a10dc51f555fc1d2bbe016841f2e6f61ab81d,0 
ef68b48e3ebdf8be93df108e9de1fa68c6455edec74ea3c8d0f6283382c0e4e9,2 
4b8fd8f1b2fe71096d2902845f7f859382d45aa44e022f5864b87fa0f97c0cb8,2 
6726eda111c615ac264e4f5774f39d2d6e1694960979ef8a114d00e534373f70,1 
318e055474f2860a6ef13049086b5c8fbd0e0968216509bd4051b06e2247ad97,2 
94b4313b4e2fb8770dec9f9dfe535880f8e2342a3799c3c494d730f6341a1ab8,0 
eef5e1335cb83931bd22de96aaf37565c019cf34f60ee315341685aa967ef42e,2 
480fdbc74d0830d5e6c2695a89c5371d86f85505301ded28b401d781983a6731,1 
02476509df3c1ddf2d1573458d3b7b23f641b2f6792d74c4dd869905c9e89b56,0 
4e8214043db37828398e3c836a7764aadf130989898e6b9d775d0fc5eef80b4b,0 
268a5c86df04c9540b69404f6597796ac0866885619e48cfc49ad9fa7c365e8c,1 
b1569a59eea517235679a67be1d1df9b5a6c700656b56116e71f8e14b3f2a585,0 
14e5b25ea680fecc94877d5251d3c4f39f07ac2dfbb059ef13d49bb38367e4fb,1 
20a2df002934bdfb8c916b92a3fa9b18448f748cd1e986c8ee2f665dd868daa4,0 
3d2e6ad4305c54d0ff4289dd3a36bec8f9fd07a57957de3b416efcef660ef29f,0 
1c17362ed88d717d39ccc1de2c0d29dd562be0e739bc284054b0b78c5340f83d,2 
d8ad93f68d3d419e39af96bd74b944cf2188e3b3014cb069ab0a09f61d22531e,0 
8a973708e6ee1d9092c588101fedae6920d6f384d4ad4469051096d58bac5f30,0 
c98f330f039f4221743b6d809eb796255cd4866f6200ccecb68d360b58806e00,1 
a4afc5e0233cad4a4a2550469d006203af9921550e868eac858365085d72a69b,2 
9a8cd7873ae6d0c6681aa67bbda5860d5d4801f5fda8f557ace3f3e915c96eb6,2 
d6f70bab2de2fad7f9a77514fd3e0a636cbd997d99252687ec8f93d361942513,2 
d8b23223674cfd3637a0da61af0efdb0156e33b90dba34ac6d5190c68b172fed,14 
9988878c9a3bf5278913373377b40c91509f73108589aed39bc06793f70bd00a,0 
7151e088e94e313f6baacc33fbf941eb90c6967dff397b6d2b1e307f6ec93d1d,0 
c409c84be77f3ced1391aff40fef93476870b13c5c18e0efe6b0bf07041ad61f,0 
9cecdf3eb5c4736f3ed21aeed0a9af8a4365c2bd38a88cdb2188af6fef753420,0 
28bf015d4f95b9467d36829e0e36227068d524a995835e4db8a46728b02d464e,0 
f40a80b1c284cf89fb0beeec0ca834a77b7ffd4dd4e2433916f5cf43ba03d8c6,2 
42c195eea996bb960387966620d5b5f9810d4213ef96fd4a5859cd1bf6fb5331,0 
d8ed911e41ae18c3d8e4172d4b60fbe4db177d3347cf4cb3e79d982bd8ed36a6,1 
6e1bafed28f86a2e3a18ecca9ac06f88d098c41674a3eae1a9f37528c0de5cda,0 
aa27ef34da752572afa0389d482b6ed7ca364f4f93d298bd4d1ad88881781986,0 
4eb6f30f093a66eb025f42379183c25784462c60d1d238c7836e7194ed2f4a88,1 
97ff4acbf95094dcca5870f05e14ea7c53b9cb5d81571283694f35e1bd73d439,1 
4748564951cdb2b15ec2bb01f7ebc1ef3e9c414b47904aee61db393df785f1ea,0 
2b1ca67fb155493aa1cfbe9546f21ae882f97578918f71afa347cd2b19532e49,0 
91a1ce2949fdb9f7944fa6e6da6b3fb914ecfdf9d4e24ba34911e4d042c6a076,2 
61b34f0a0f21a5ae7fba178f71e9c78a97bca5e9bd02f9cfb23361cc70f89deb,2 
1bd23358c838d40183a191647da0385bf9f605d7994cc25c49477ee4953a1f4c,0 
2cdfef851392b34937a120c56fd2c74039ea0a27e5be1224c076b1b2f5fbd261,2 
69d0cfb09ebf742390b648a3a899b08d88b23ef02894fe2f0ba9889c407f5c35,0 
36f759158c3a0b38c6d013725f1dc4d5d0523caac03cf4ae7fe4d3add31f760d,1 
afc58b7f7f80f35c7117aea8dcb715329bf240527e22d5fd1ebcae7e45fc5aa1,2 
508af8cb476c1e786a7693b3894ae9608e46c74d82711427519e9072504c8c91,1 
5395d61741a23bedf67b9bf0c3dbf5ceff0de7e3fb3a92f475203a42571db323,1 
bb4ccbf9f5c860b54195ea6a8a2448b3cb1c51849b70eaefe16bed7540e00435,0 
cc3994ff2afcd45c06fbb72a8c138162b8fd69609ac8ed33b9e2f5745355e47f,1 
0a46a9e84636954e33e8616010f70da4e0e6f8cc1890258d73b53dbff057299f,1 
0d6d2b1ba96c52df22e30de9c46eb4d02eb797a6759a90b099c4174fc9740e8d,1 
d41b8df0f6e10a4b66a0572a580c97e2b6d375a1015dc565d36ef4f4a2acfcc9,0 
08092deb7a45ba2f47dcca358e509db35fcb5e01891a916af48dafd34428a3b9,0 
8e409c686c45308f96f9bdf503e50eeec70433a3edd2e13ac4eb4c2f9261ecd4,0 
afdaad0769d0ce6394c4a79d16e3b86bd0dfbe2028ad24248314d43fff604d92,2 
b1c3af744b378c81cb38623f74814c3d5b9e2161cab128cd183a26949a565edf,2 
d136e9e477b8c84fcb6510729f08d39baff4be30c519b97c01b968c91b24db30,0 
f08d80752f2876a7e081dcf709daad4fee0e3ad775ec820ce71c3b821e0e0cf2,1 
bdfe057a80912461450285d20f934dd423257f1a77c75bf1a654f4e221910712,2 
5dcf5fa38e64b78c26a5b975199a50acc9b146a573c46ef112a30bfef37a8730,0 
f5966a0ec93e7cb196c9be71ff324d7e93312b7de3ccc29c70540171d4b788d6,2 
d79f2e0cd13302534f558c428c6392cc60d7390008fe75d16cb53eb4528eef2a,2 
c3a354ca75f5a0f0aef40aa942e34369e3e8bfce733f4da6aae466aab614a727,0 
0e21b1c800c2bcb3078feb1d5d1f8c1f239e951948cee8ec96c09a1fe9d7aaac,0 
3d64154d33d5a5c8240c31a83854318cd9000655b8f8e98e143576977b80ba06,0 
f3559c33a04e206c2542a654d9cd6add0293cbe13a57c9845acbf1dfd4fedca4,0 
aa5e248634a9812e2c551ca03b56be8edccbe5588c2d4ab42d1411825e2eb5f0,0 
b865cfd6d68e46a514b1f6247d91c463cd96e07e51fd741fc1000cf4b1b10cfd,1 
f352b175f7f1f41eef0802907a545e4115508a8a821dd34d54d010ddedf2e116,0 
ea50c068faa0029954b40e747987264ebdf59b9ab0c1463b0eae171e0a82e346,0 
22bc7327ae5ab81a4a127e0d2edff8c7edbbd3ffe32a58ae3630f56e9710beac,0 
e4f8334bcea8b6b54aa52a89f0216efa75539493e234915c84af38b82cbac74f,0 
f993bd77be96965c0e63cc1b086f50341007f96b58112dd74e1ef8c7caec86bd,1 
9362a7710fe06c48f12767f787331474edfc6964d8354f589fa65a9dbf957342,1 
838ed395a8cedb5051fc7076851cb3f3f8f815d264450a4e712eae31eb646e5d,0 
6ce430b3469cdade64c6048cbcf902cc92a6ec866a19dc9617084bebce65397d,0 
c552c3acaf853e80be8174a1e43779900c4bf202717f37088119590a432316cc,0 
f9add0bb4fd1940d56e6bd84565e7ec9521316de1380ce15dbd5c5fca241706c,0 
57b532ee5195bb43ee0c74b4893143de4fd22cdfbf678c3cdc899210aba3ab91,1 
0d7b5d243e30e23ce51b242acfd00685c944adf7306f34a5d75dafa4c9a97e44,2 
fcac56c88ec21595e8bad8df5558a7433055d018af8496b987541d9b642b7055,0 
ad0a5a14897fc9bf5e4eced9184f43338c4fd3dc7c464f540cb416ebfaa9f318,0 
5b84df466af47cd22cb1777ae044ff4a6beab3961d1ca29c9645cbc87073b6f2,2 
7f55b48873e46f7b7304b30813ce63f27f46c314324b8ee941c08b40f473c56e,0 
a04df42d6e4e47428c2234623238105f912b6590af0804bfc3125fe72df5ccea,2 
a174fc6cc3bbbedfad818bd55e5c560e518dfd1ae07aed32bb20f42909331125,7 
ec69fc67e3acf318b55a688df49fdbbb7646d22d224761283080dc73c9d1a3ba,0 
b60217f7aaaca6db93db3b2bf383ebc01494515e6db10a3fc90e1bb0233a41d1,0 
a6d6568ef9ba454747579f8a41de39b63c0001ad1de935ba0044ca6d5718d497,0 
4f6da3dfd3f1b43f8e6c5b9e51a2d70173f1e6fea35e7842ef7b012dbeea5315,1 
0a45653d04bd2c32ae514279c47083cb5ba2f7908f9366e500e77bed9002e582,0 
da0003d101ded136a850c6bd7756a905dce69edb9ef16dd4bdedb0792c6f9625,2 
475b26e5d562d2382ae0205535d8be1402024318deaae4453f3333701b80fd69,0 
0a17186c68ebe0db4fcfefb53e956055b9805102a71dd9524c379544ae7fe1b7,0 
8962d73a7fd5f158c8d63cd5ae3cfdd91cded5bfcb98b7e31c272dd2a2dc5466,2 
527648a483b3df8b74f0558a3b13cafd87a7b3795c283d4c52ec0af846e06c5a,0 
43b9838fbbf3cf1df0d6239d55dde58fac573129e94a0a8af9ccc1d4aa2a3b25,0 
4978f301d40659febc36a175da0cdaec810aa353a4647b4db5d009aa9300673c,0 
1869e54207952f62ece24400d082b6c922a81dff43a9ec351299d95437cd89b8,1 
40ffccd0911b67bbf688479113775fa9684afe024e372f87655055eaf2c96bc9,0 
f49856de97bd79cb9f5a3af93c37f1ba19682dd503fdb6f7fcfbf328d7a8af32,0 
f1ce5eab3b048840e0a44b1645931edb9a30ee5fe8ee47c774c13bb76be4d409,0 
1e0e619ed5c50312049177b4a5ec80597d29de769c303c128e04251df43551de,0 
aa727dd7ab78a2c7a39b670093d935f09abca12ffd2185a913bbd61d96f2c7a1,0 
b5350f33ab7f0f7d2454b48d07154e1d27c37fbd30c277427e81b2fcbbb20d27,1 
a945712ddc029cfdf84d762361e0d2339e7aaf1adf1ec74f51647c894333b292,0 
4c98f9b42c5aa93c198d9a0374715db6e4348dddf75599636c0204cfe3e1f479,4 
e0b37582a0657ad3b5a7c942aad07f6b5f32cd4fed2146ab030e4dbe6c4e55c0,0 
e0acb71d510981703c459405637ca455ff9cad5dbee804e2df9019f61c7e67b8,2 
c64749232d19d006ba6449f857e6ccff33119e97438e0f74a39b887ee65ad35d,0 
ee5dc5de9a656fff0938fe864327132b903c6cc75579e9c9e6356b1fbe938a36,0 
d05d94c8e3b926c8dc5e8b7d94884f9329915820b32d7162f6c3bcc076d09c3e,1 
d54fee1fcbea4ede6cc01933cee5a52d74804a8df25909d786a0a82e1390f5b6,0 
2ffab8bc779b9a0e43403a6af0ff2f4cd065cea15ee55910d7de61669030882b,1 
6b2b749c830565da00a91744edf6a2a69f1208ae213d6c23e24bd14380fb0e34,0 
0b4d7e35f29d847551911e00762417a4bf87b208fd8a0162dae58b7dd13fdb61,0 
9065177221c44f3103c2891d1bedbf9f89272d3965cef10dbb61766d758e0fc4,0 
02e4b589953b2a42181973757f794a6b49e0f8529982807aeecc85c0e9634c92,0 
83e9cca6c3927e3a6d3da1eac7ef80b3abb9401941436d523c97f465188a774d,0 
e233724d1447057b9aee17c586e2981595dd94d3bfca65c68c848cd7a5b03a63,0 
4e55aed28fc084c0be29b6e266027c690ddeabd92a78ae95623526dade8a7e23,1 
fa3980c81a917fd25648e741c5228c90b761fd67caff74c6f54c8681296c3f56,1 
f2fa999f5d93ec078b793667ddf5f28144120004aae485bf57df9164d725b7dc,0 
55e6741498045c82a10e52d33c3b86b9f6f30d6aa81df42f31b54d7422d9378a,2 
7e9d3a4f9367943ef5a4521faa283b576b699b2cb97ce799b318e9312245d3ff,1 
fe013165545c87979725ff91ecafb22b2f103987d3948df90a6e752c1b28b67e,2 
7e3783a04a1bcc0fe67de71afae8f5a2ffe752928a3e4f3f8c5a4626f27bf48f,1 
4fe1e61f10ecf01803ccc693dac0ba6b33edcba32e76e322d350b00c353d72f4,2 
8769358c61e6cffa4920e5549c8c8915cd0283c4bbe4fe86329f6183639b1619,0 
026f84c438c7d01c894a24bd665e62bfd7be64f059d40c4d64e3dda637f494c3,2 
a1e411189c888fa89d6e7862a9896b1d48723b4f575ee7c426a9fdd7cb9261a6,0 
13351057ff2ace077a9fb4072a051a47207f14808a51b764202a287315490658,0 
a0c3b071a37c7a2103197ffdb3033a0656fe02a0f3afaeea0530fce5649dba65,0 
064670a6eb23c01cba601f79a042bc4103ce3230fc5dd547f7f5890c09a652d4,0 
a223d0c8264435114c03727697f3a204bc982661e2633df8abc852cf910dcb11,0 
0e31bb2b6b19b1a27cd7c11276dc296c4063197718518c1e21f45ec447f994e7,0 
e3318a245d712468fa1f2697894ca282dcf018ddc57451bda95426dba8e27095,2 
b5a44fd19dce03146e0310e11d982b1b716fb006523400e817504e2b754b6fe0,1 
87d18e835c0ae4a70ffcd51890e26c7fd416770d53dd441cc9724f2d6d7d9efb,0 
30e94e22c69ca045c206e59426a85d1a38b3630540ed8bf6de8b743e05355601,1 
ff12efb1317cc81d8747126068c3d4a20cbc38406d438b5724c8e7e9e265edf9,2 
9493acc69f23fb226af0acc2ec5cf2f498053a9305a70772577127338c9c354e,0 
a95c91172820e274c9914ec69a0980487ed608c365f5cbb812449039d20826e2,1 
2ba61626575199073c924e75a50adad08799edecb376edbbe6bdff1e2cc539e6,1 
a73bfae83fd38f27718f0f55a1ea0e2c810370ab8e7b6a01c9c92f3b22278333,2 
