Rank,Principal,Points,Cloth,Wood,Glass,Metal,Circuit,Dfinity
43,tys6g-oanzk-humqe-cixww-2v7n6-yb3qe-vvza6-jsxhj-zcktc-oyht5-nqe,152,1,0,14,0,0,0
43,h33jc-4uvij-j2ltc-jchpt-mdnmc-f4dv6-6myhb-4pmik-am5hx-mvfl6-rae,152,1,1,15,0,0,0
44,n7lsy-4rlag-mn4nr-emplq-avdhx-wbg2r-as54w-vaoac-buo2f-7ldmz-zae,151,0,0,13,0,0,0
45,bfo6a-ezhek-nchgi-fsbxt-5y73i-vmwx7-l4vkp-dyk4d-yzcaw-kwg5i-zae,141,0,1,9,0,0,0
46,g72pm-zuw36-og4mf-ruqti-ftoca-aufux-u3yyz-nbndv-z6xlh-xnf4c-oqe,138,1,0,11,0,0,0
46,wqmwp-nqaeb-ikzfp-wz53i-ek6ih-thj4g-nhhm7-wfk6h-sk5rz-ptjno-zae,138,1,0,12,0,0,0
46,j2vkw-hrkbh-zejud-ttnnu-egr75-o7cjz-4jpic-wx3tx-zy3h3-wdebw-oqe,138,1,0,10,0,0,0
46,rabds-wyc4r-dubkt-sepei-yprmv-ymcv3-s2rpq-5nrpz-eccze-q6ezv-sqe,138,1,1,15,0,0,0
46,xrnhw-d43ch-7gzy6-6ioz2-vrqvk-jrssu-qiqqe-xbxtk-5jjjh-j2zwf-cqe,138,0,29,0,0,0,0
47,p4maf-7jrj6-ute6h-jaway-2jozr-riwlm-inwp5-ptkl6-w36ih-hurpx-zqe,132,1,26,0,0,0,0
48,nhbfy-hnmgq-k3lwg-v6id5-pwows-digbw-5jlt4-666zy-b5l5k-qb37o-5qe,126,1,26,0,0,0,0
48,mcvix-7mn73-epmdo-hjqmv-gwv46-lt5dp-ied2d-rzp6y-diliu-l6dst-3ae,126,0,20,0,0,0,0
49,yeqh5-jaocd-rx6ab-3dv3l-clwwm-omcyu-d5d5i-io645-egc2b-zp4ai-uqe,125,0,28,0,0,0,0
50,agqd2-uvryx-bdwgv-nl423-sxmud-i37mp-zmcnp-3fhsg-qvhup-3e7xo-bae,122,1,23,0,0,0,0
51,h3gin-6s65w-6t5f5-drznn-5cmlo-7bo3y-zqxkf-ju562-3kml3-bssri-jae,120,1,24,0,0,0,0
52,cz7fk-nbncr-5yyzw-zhrdz-ksbll-5tike-hmbj6-66zj3-ficdd-or7fm-kae,119,0,28,0,0,0,0
53,6rlha-dyvwq-ju74l-63xof-f2zpd-soovr-6icgf-qbjwi-vr5jv-rav5m-aae,118,1,20,0,0,0,0
54,vha6k-ehafr-xxmcl-h7gxa-ecxaa-uar4l-nufvr-6ooiw-qypbf-oo5hr-2qe,115,1,28,0,0,0,0
54,d3hcq-bcrki-gle4m-5sjrl-5lcif-fvf26-sqj2w-a4pf7-zbmt3-siohv-fqe,115,1,21,0,0,0,0
54,vpcne-6xc3a-4ievd-imcrv-vp4ak-a7o4q-bwxty-sfstd-ymazg-v57qa-aae,115,1,17,0,0,0,0
54,ja4pd-qj7jr-pdbtx-t5d5w-5q3oz-r7tbw-7smds-3hktx-ade42-ncyas-jae,115,1,24,0,0,0,0
54,f2zbz-fkhny-sgw6z-b3j2l-xzdkt-hamzn-3qiew-2oxad-gdnpn-pl7pd-oqe,115,0,25,0,0,0,0
54,b4efw-toj5e-tqjnq-2vmid-3bhnc-gzjh4-nmoah-7cavk-bv25q-m6c3g-iqe,115,1,18,0,0,0,0
54,ycmde-hmh55-7btvq-h6jlz-qmqcm-jrg7h-yhgrn-z3awj-ti6fp-oyqxr-xqe,115,0,24,0,0,0,0
55,tahus-vg2mi-zeblu-u7zer-7h6hv-g5rzh-mvxlk-7ehj6-cz2vh-rpgdj-nqe,114,0,24,0,0,0,0
56,vrrqu-u3fji-ggntp-xrg3q-yiklg-i3r7h-afbih-b2775-qbd3q-4xiyv-bqe,113,1,14,0,0,0,0
57,ojazv-he2wj-bmvkr-rkuzf-befzn-obinb-v37i6-v3u43-7yqo2-wy2ad-lae,112,1,25,0,0,0,0
58,3wk5q-kveaa-j5l7e-xzqr7-e4xsq-gcqhk-ilv7m-nhvh7-icsv6-j4uu7-aqe,111,1,17,0,0,0,0
58,v74r3-fv2ks-kth23-h2pwj-iip23-djcqx-2xin3-i6hjc-q3cub-ddxgi-rqe,111,1,17,0,0,0,0
58,6qkgz-qijof-zr7bj-zclhn-3gwu5-gx55d-6xhrk-uhq2w-dls73-cxas2-qqe,111,1,22,0,0,0,0
59,qiwxo-bdjxd-fo4t7-ddwt5-wq4bk-bftm3-rau26-scn2d-o2dbb-oaydk-tqe,110,1,22,0,0,0,0
60,ouldp-4mt2a-k7r7a-drweu-3zsu4-y3dk4-4xzpe-bouaj-pishz-25uyg-3ae,107,0,22,0,0,0,0
61,7xhay-6rgbj-dqria-jfnng-zjsbq-mwo46-ijohw-h2y6x-fuor5-b5ap2-yqe,105,0,18,0,0,0,0
61,m5fyh-zwnsp-cwwh2-bkt7c-7uqyc-t27vx-eerft-w6otd-em2vp-laaj2-sae,105,0,21,0,0,0,0
61,lpmvb-fqoy5-fgvkq-em56t-kzr6d-b6k6a-dty4f-hazff-tadbo-6q4j4-gqe,105,0,25,0,0,0,0
62,4mvzx-pl4hb-x56qf-cl3ke-lo6do-laaxe-5r7fk-nvg6m-4fet3-rgyr4-cae,102,0,15,0,0,0,0
63,4vjnu-bcofl-sw33q-ch7j3-sz7nk-o4teu-t4qqj-5ml42-2znzm-pwdfd-qae,100,0,17,0,0,0,0
63,4qaiy-m5p55-swv4h-qx5bb-e6w56-anw6k-35njf-p47v3-6pgu3-il5t2-rae,100,0,20,0,0,0,0
64,2ye75-z3dvj-5pokf-vvdda-pvq7h-croth-kyuvd-lhpwg-otk5z-ue5mt-jqe,98,0,23,0,0,0,0
65,pksn4-amd7s-fbiqx-qql5y-dz625-cxhpv-jsguj-b6h3z-5wlb2-b5ho4-nae,95,1,21,0,0,0,0
66,zvctg-qa636-sla33-2xi3w-iorkx-2vtye-htyir-os3qm-vsq5z-vqn65-nae,92,0,17,0,0,0,0
67,ld6r7-vpn2j-sktol-ocwzp-baity-2ibpm-iyo6d-lq3lo-c5u7y-zruv2-3ae,91,1,15,0,0,0,0
68,5mmmu-4ucim-mq2tx-ilv7u-p4uwj-wmwpg-aklnd-wcczk-sz2pc-uw25y-eqe,88,0,18,0,0,0,0
69,i4tew-6klyz-x6vbi-j7s54-lswph-i6sbn-6ctrq-fkt7c-nbhg2-mm2u7-oae,87,1,17,0,0,0,0
70,db6jz-tupog-5bqip-cprqg-46un4-i6te2-yqmfo-t5eya-qrdxp-iaag7-aqe,86,1,12,0,0,0,0
71,urbvy-cpagg-qe5fh-fakx4-4kyk5-qajvp-zttg5-bfem2-hcga4-smscd-dqe,85,0,15,0,0,0,0
72,tu4nf-kbouz-4vk4v-gmjpv-ileea-ctcjb-vnt7d-64lcm-hev2r-ua4my-2qe,84,0,16,0,0,0,0
73,jsnjg-2dywv-qctk4-vfn2t-cprh2-63cl2-mued5-6xdku-ynrwf-odsml-zqe,81,1,11,0,0,0,0
74,zss74-tgejw-4o7df-fzql6-4iaw2-bfzfu-edb3n-nn5yn-rwjeq-3v6t2-jqe,77,2,16,0,0,0,0
75,h2x7q-tcgpl-ucfmu-25elq-k6w2g-x66ys-qdpup-gq2as-a53gz-3xqkk-zqe,75,30,0,0,0,0,0
76,ja4eg-cpmbf-piyqe-c7rot-a2646-6ivi7-tmwoy-bjjmy-4f3xj-teet7-tqe,72,24,0,0,0,0,0
77,27khc-kvlqh-o7snp-mlcn2-xshng-od2kb-lhznb-cukev-yluvx-tomis-gae,69,18,0,0,0,0,0
77,owdnz-wxqsa-gh6it-teg6s-4d5sj-kx262-4aib7-otgc3-5melr-jj3zp-3qe,69,18,0,0,0,0,0
77,vbw7f-vrvep-gncha-udzry-v736h-gsf7m-kqyob-hawfi-h2swu-k2vsg-wqe,69,19,0,0,0,0,0
77,hdctq-xqtij-qytlp-qdviu-gcr5n-y4c3g-xejik-qj6a3-c4ckc-l22kj-iqe,69,31,0,0,0,0,0
77,du3xt-pshsf-hyeko-alvjn-e57qt-2lnh2-j62eb-j2wyx-7mhtu-gdy2g-fqe,69,28,0,0,0,0,0
77,r5crw-ikij3-u53gq-7vzss-45vzn-crakn-rk3g4-ryd2v-qzzjr-lo4cl-rae,69,31,0,0,0,0,0
77,zfqn4-unc3w-kroww-k2btg-7rdy7-fizy2-nwr7o-rjxaf-tcf2v-2bt2p-xae,69,23,0,0,0,0,0
77,wrdbq-6pxmh-whwyu-fnpim-djalo-p7cyk-wodop-lwdpo-a76i4-6ioec-5ae,69,22,0,0,0,0,0
77,qyp4c-vi3ix-tggpd-pei6l-6be2v-ju5fa-tuw2b-5ordb-qlcot-wrz6c-sae,69,23,0,0,0,0,0
77,4mggf-u5pzt-stopi-t32ya-gvmq5-46fsg-gdryv-alojh-fw4ca-dzeyb-dae,69,22,0,0,0,0,0
77,jthdn-u55z6-oaut2-k465l-opfm7-3266r-nk3gd-hl22w-ytjgv-c2xfj-xqe,69,27,0,0,0,0,0
77,7bgxq-k7bp7-u4pze-42l4z-52i6x-v53uo-m3gre-elitn-svy6a-e5uvv-fae,69,24,0,0,0,0,0
77,t3kqk-fzpjt-pvv3e-qoami-toofx-nzane-kld4o-mqrw4-2pvic-yn2qu-tae,69,36,0,0,0,0,0
78,piuyi-iq5ew-oxlvu-764zq-sbzvv-qs5sv-2fgcf-4y7bh-hrghi-342ar-nae,66,21,0,0,0,0,0
78,fp37b-7uoe3-akzpp-dttpa-esv74-4fqif-v3gx6-h4iuc-pp4mb-jq5a2-5ae,66,20,0,0,0,0,0
78,b7uzp-e5t44-qrrfq-vortf-vqeqw-kruur-tpg6e-dvpcu-zbd2f-3njmo-2ae,66,22,0,0,0,0,0
79,lxh4b-a33yy-h24wa-4cmtx-qg7ah-qdxi3-jz4ez-pr6di-7kpzq-uo3n5-uae,64,26,0,0,0,0,0
80,tqivs-ght6t-e23u5-2kcqy-egllo-gt423-ctqzw-oaogu-rxzgk-3243d-lqe,63,29,0,0,0,0,0
80,hxdpn-hxyoy-em7uq-73yoz-fcese-vwdzn-fcdtu-p746p-e3fkm-rxnhk-cqe,63,20,0,0,0,0,0
81,pdfgo-p4wa5-xorzl-ulopm-wx7iy-rdqrg-em6mv-fagzi-afb7b-xt2xq-xae,54,27,0,0,0,0,0
82,a2eb3-aqi6k-j33fv-sik4x-vfi3e-3azzf-tyd4i-qajhu-6isqt-efpvk-jqe,51,33,0,0,0,0,0
82,r6sm6-qlbxy-fygnu-n7ehr-i4ss5-hrzhk-kbave-p4nt5-d6mzg-cxfop-cqe,51,17,0,0,0,0,0
82,hjeat-vi56b-r6t57-apjw3-n3267-lrur3-s2icm-v3zds-bn4cf-uk44b-dae,51,20,0,0,0,0,0
82,aufcj-e7rtr-gm4zr-j3d6o-qwmv2-lyee6-anikc-l33y4-zeymj-lb5ck-dae,51,14,0,0,0,0,0
83,yjyao-2xjnf-5yb7g-rdxfk-ktryb-ofb3h-fcwv5-fpruj-zoyrw-hba2r-eae,50,21,0,0,0,0,0
84,yguel-nphqm-hnbj7-75ilv-h4sis-tbjwe-hexcl-m34ip-2rcj3-onsdi-4qe,49,28,0,0,0,0,0
85,zexru-gfxov-725fh-uvc5l-az7ut-gsuqu-q2pvi-jtw57-ppaxg-7tu2n-tqe,48,28,0,0,0,0,0
86,eeoxt-srqrc-to37a-4sphf-jkw2e-xtiq7-co7eo-qqtrr-hi5yc-ioc4t-2qe,46,23,0,0,0,0,0
86,wc5jx-ksqn7-46w33-mpw3q-jphoz-7rfrl-szfu2-ui47d-lpsl3-g6zoy-aae,46,26,0,0,0,0,0
86,dt5og-jicsz-2cj7j-v25j7-w4c4n-kepko-b7iei-yfm74-2ntpo-2kkgz-kqe,46,29,0,0,0,0,0
86,winay-fplp6-y5bzd-5uckh-wjk4p-qi57b-onw34-xqle2-q52ml-zq6it-3qe,46,17,0,0,0,0,0
86,g5g4y-t273p-xjbxj-w26jg-2npbh-mqo2r-3fsqe-zqgi6-gynud-kri5l-3ae,46,16,0,0,0,0,0
87,iwjib-qgrgh-3dbsm-k3emi-w7buk-ldgub-qyvil-kzq45-nlgxt-gbq6d-aqe,44,27,0,0,0,0,0
87,4bxu7-fuuct-otitq-emxde-emjvt-xl46f-scuz6-7yzvy-tlrbz-eeeap-oae,44,19,0,0,0,0,0
87,p4ebw-wmrid-2zwnz-b7m52-mvdns-4vpiz-kh4hd-nsxdi-ryr4i-phczi-iqe,44,23,0,0,0,0,0
88,6oyct-3laku-uigg7-ivfyz-cp76x-qrb2x-aghy4-bcuz4-tbjr4-o2zdu-wae,43,12,0,0,0,0,0
89,7dqv2-rgibp-tw64e-5bzsn-bckgr-zxmsc-472yy-tombi-wcxmd-jiulq-uae,42,24,0,0,0,0,0
89,f4pfw-vtylq-olul7-nw3fn-ozlcr-zsd53-p35n2-wob3j-i3rdu-4lwdm-6qe,42,26,0,0,0,0,0
90,brlga-tr2nw-atdxg-irukn-q773m-3ukcz-fkm4z-dhbki-cpy7s-2gpox-3qe,41,20,0,0,0,0,0
91,f5yau-ggyr4-prccg-ptns7-w5rzx-7kwdn-oh2a6-5pbaz-fvte2-klulc-3qe,40,11,0,0,0,0,0
91,dv5tj-vdzwm-iyemu-m6gvp-p4t5y-ec7qa-r2u54-naak4-mkcsf-azfkv-cae,40,15,0,0,0,0,0
91,kqsly-6j4v6-lzrp4-v2ili-oa2pn-4fzcm-egj4x-k6bis-jgujx-sbjtq-iqe,40,22,0,0,0,0,0
91,zjlyg-o5ks6-2ohfj-gmk7y-cem37-zxfk2-ek4li-2dyj4-lmzwf-n6cui-mae,40,21,0,0,0,0,0
92,kxstx-bhxsu-cyhk6-far2l-ukwsu-rhsdf-xcvok-2bile-wamqk-b4jg4-yae,39,19,0,0,0,0,0
92,wp4v5-defmu-ieus5-dme2x-go4x2-3nwoe-p7tg6-z3cmp-6i7qs-ubp4n-4qe,39,14,0,0,0,0,0
93,6jvf5-jiahj-5lh5e-vkutn-yn47e-5w2xb-tjylf-dhpnr-lwkrl-lgd4h-cqe,38,16,0,0,0,0,0
93,3cey4-x5hdl-6ar47-vzvne-bcgig-wbzih-e5bqe-r6nqc-ld362-xpo5o-6qe,38,14,0,0,0,0,0
94,xh3xv-6faf4-fnazo-unjge-pgwtx-hhfgd-ihmc6-3u3cc-xznrr-gbdpn-yae,34,19,0,0,0,0,0
94,qtpuk-vbk3y-rbon2-pmweu-k6ghd-dxdl3-4zg7f-d4xlx-edml4-msl7h-gae,34,13,0,0,0,0,0
94,hzj3y-nszwd-le3a6-p6pcv-oxc67-bmjqs-dkb3u-tkgkx-ab7pe-6dfpo-mqe,34,10,0,0,0,0,0
94,syzbf-nszo5-an2zb-blktw-6kx6m-kfwz2-nhx74-p3ikn-lxawg-pmbf3-eae,34,16,0,0,0,0,0
94,ynxyy-m2mkk-3d7wh-a2v2b-u2k6u-5yk7v-y42pu-zbrkf-hzse4-5hgaa-cae,34,12,0,0,0,0,0
95,hmszu-xamv2-zn5ha-n7vej-dczkd-h2xgj-l2nxg-rmutn-cptil-hetge-kqe,31,14,0,0,0,0,0
96,pekym-phrvx-6umj5-t66v2-cf2wm-sx4eh-fucrs-a77rw-66467-xbnd2-cae,30,13,0,0,0,0,0
97,eazzo-5st6t-kquci-s4iyd-wnpq7-lxsjq-hc42u-dtxiy-aj562-xzc6u-kqe,27,11,0,0,0,0,0
98,3frou-szdjl-arvw3-4lfrg-izya2-gzppv-qndnp-3qkd5-kzv2h-lcwud-iqe,24,11,0,0,0,0,0
99,tkqgh-yil3f-dhq3p-zdojd-vbtmq-payhu-ubyzl-rrdyn-xmfyq-zuhi3-fae,22,11,0,0,0,0,0
99,dkkgr-ribf7-qgjxq-zyxtw-n4r3u-vd2ot-qzpvy-hom6u-ztevv-evo5h-2ae,22,10,0,0,0,0,0
100,e2632-lbimj-f4vno-7vr6u-lchaa-gzzjo-ngwgl-7hi3m-kkj6y-aktog-yae,20,19,0,0,0,0,0
100,du2hj-tshoj-jbjx4-mwky6-omtlq-d3jco-ezipl-bspok-4q266-nok3f-pae,20,7,0,0,0,0,0
100,mevv6-ipqoh-6qy66-ydwv6-3geig-33qzi-62pcy-jug5v-vczh4-fvvp3-4ae,20,19,0,0,0,0,0
100,aljit-a6j7l-zrsjp-tthei-5qqv7-mgrwp-yhksw-vrjkq-iasfz-i6svr-xqe,20,13,0,0,0,0,0
101,qpjzt-x677o-h2ofd-u2c32-xa3lz-em2nn-dj7tp-uhgjk-2dlos-x4xap-jqe,19,8,0,0,0,0,0
102,esvgk-ohsms-rmefa-tuos4-fmo2k-rcyim-4jggo-view2-krx2f-4c7wu-aqe,18,10,0,0,0,0,0
103,ugtlg-eer6x-grn5l-nhq26-exwde-hx4po-ot5lh-pxw7e-fbabu-ny2gl-yqe,17,8,0,0,0,0,0
103,pgyst-4azbh-j7cd6-cntnq-iznyw-jcrs7-5bz2n-wamjq-5q65t-yjae4-cqe,17,9,0,0,0,0,0
103,hd7vh-bhypz-7yyb5-phgfs-7wvjd-o3aaq-5sjdc-yp7cy-s5rpk-kzzyz-jqe,17,4,0,0,0,0,0
103,a6t26-zc4f7-gjivu-bfkjr-enyy6-rvqmj-e5lgb-imahs-rq67q-7p74t-7ae,17,5,0,0,0,0,0
103,zc4pb-tfqtw-olj3q-j7vm3-63ebk-5jckq-22god-hkqka-vcyhg-jqh74-mqe,17,11,0,0,0,0,0
103,dna4n-tg3ow-z3d2d-wncau-fv5hc-7lr3t-h3k62-fy7qo-odoyp-7ww4b-lqe,17,10,0,0,0,0,0
103,4o4cu-xcp4l-w2ikz-une6q-gi2qm-vulz6-axqsn-7vqta-kdzxv-jwz4r-zqe,17,15,0,0,0,0,0
103,wi5dl-surmi-wcdgb-5nhxq-tqigu-4lpam-hdzoh-pj5f7-x23cx-ezsxm-sae,17,10,0,0,0,0,0
103,hyqxy-gsizh-l3aov-clt2c-6o3da-m2ms7-53pjp-vncd6-fz634-pxut4-vae,17,9,0,0,0,0,0
103,l4j2n-6uspz-lvphg-kju5i-r4uuy-hesqb-uuzh5-fq7en-4a4u6-cljck-eqe,17,13,0,0,0,0,0
103,ewi4d-jt5dc-m2izi-qspgh-bygjv-tecbp-mllv3-sd6ti-4frch-rxl6r-rae,17,8,0,0,0,0,0
103,xuwp3-jxxu7-d2ysg-jnv4k-mikul-yprlj-dlc72-v42pi-2xirs-5jkzr-xqe,17,7,0,0,0,0,0
103,cxuo6-vx5ve-4czzn-mkgry-3l3db-yurpw-ogiid-jmf5r-cm3jx-d3hf3-5ae,17,9,0,0,0,0,0
103,bignb-lvv6k-agt5x-dfrct-mq52h-dsbay-trz6a-zotgv-jymtb-mvb2m-gqe,17,3,0,0,0,0,0
103,kazpb-3vg35-mx6fc-jqwzp-ffskd-df7v6-z6wh2-cn4m2-knmd5-pz3wc-oae,17,9,0,0,0,0,0
103,qgigk-pvdve-bvavd-oqmgi-jdrlx-4ai3a-4yoa2-zmeag-f4xte-uust3-rqe,17,11,0,0,0,0,0
103,qalti-ujqcd-ty224-6xy5k-aauuw-3vawk-7d6wt-gewjj-7knzg-uepfd-cae,17,8,0,0,0,0,0
103,kjbu4-umqd6-tlwsb-qsgya-6d7ck-6ctvv-gjtu3-aplvw-t6sl6-psa7w-cae,17,5,0,0,0,0,0
103,rskpk-sogac-y7pva-i2ibn-26ezt-qqtaa-t7awk-h2ovi-tmndg-75grp-wqe,17,4,0,0,0,0,0
103,givcs-kipdu-zh3gr-uma4m-sle65-324wa-kqkma-37hlx-kfnku-c4tft-7ae,17,11,0,0,0,0,0
103,bomo5-2mfg3-vu4e3-2h3ug-gimws-2eg7i-agqhn-c2wtk-l5oui-yeo36-jqe,17,9,0,0,0,0,0
103,rvhol-ropkm-3afry-kledg-3pzp7-zvvmq-uw4c4-al56k-lnkpd-xjte2-dae,17,8,0,0,0,0,0
103,p62tb-flsll-ddy4k-nmjwo-4eoza-4bfy4-yejlg-xaoqt-lq52y-f45cc-4ae,17,10,0,0,0,0,0
103,fl5h2-y2hqm-4qm5v-yerze-toavw-4apap-n7roi-4h6cb-72whh-f3yog-mqe,17,9,0,0,0,0,0
