Token,Time,Seller,Buyer,Price
rnacs-zakor-uwiaa-aaaaa-cmaca-uaqca-aaavd-a,1_643_382_577_128_822_933,zbuoh-anpsa-vx75p-22wi7-uzj6p-vu4fn-jvv3a-cxzxa-5m76z-clijr-lqe,8b5c43ffc9a12ac17b437801a6f345d0bd406b21213bd35175553242028fea99,165_000_000
h4zex-2ykor-uwiaa-aaaaa-cmaca-uaqca-aabqp-a,1_643_384_888_806_606_820,hegct-qnrau-dusgh-s5syl-x7hce-d5f3p-evomp-rdiug-et5dl-tggny-6qe,87119f81aef39d4f3d02fb68f489504381a06e8488fdbd152c8dcd9d305ece10,120_000_000
zaqhm-qqkor-uwiaa-aaaaa-cmaca-uaqca-aabec-q,1_643_390_914_006_778_252,swxvv-f4z6k-vhs2r-6h6xl-wr7rv-drip3-wzrtb-y2vqj-gf3mh-mypvb-kae,e26227be2d741d579fddd763568c53a11c1ca3c2bfe9422cb08b03f819be6883,250_000_000
isfnm-cikor-uwiaa-aaaaa-cmaca-uaqca-aaad7-q,1_643_394_801_968_581_527,ov7ob-6mrku-6a3ju-aub4f-v6oxk-ogkwt-cqk74-3osri-7j7ti-nnsdf-nqe,1939ae0d38e14a78290c822c2d98553fae16fff58fbc8dc48c399d7ae169a817,150_000_000
vq53i-5qkor-uwiaa-aaaaa-cmaca-uaqca-aabsj-q,1_643_396_323_765_072_244,kk2ge-kz42n-gtdpq-4fatv-yfl5s-qq6va-3tgti-qiwy2-32cht-xrabm-iqe,87119f81aef39d4f3d02fb68f489504381a06e8488fdbd152c8dcd9d305ece10,100_000_000
2nma7-aikor-uwiaa-aaaaa-cmaca-uaqca-aaad2-a,1_643_405_743_419_525_937,aixz3-gqrmf-3pgtt-dg6tp-ourpc-7vmlj-jia7t-qvxqv-bwpmv-mug5u-zqe,ac48165a4f600fc2ed684dcc24182cf66f969da19c32526a9d36ea6a64988068,445_000_000
3g3k7-rykor-uwiaa-aaaaa-cmaca-uaqca-aaajl-a,1_643_416_460_861_772_238,6fq7x-eav67-zyvam-eubhr-epz5h-ukzyc-jbcs3-dcr24-yf47t-al2t4-6qe,ac48165a4f600fc2ed684dcc24182cf66f969da19c32526a9d36ea6a64988068,215_000_000
alw3h-6akor-uwiaa-aaaaa-cmaca-uaqca-aabbr-a,1_643_418_536_544_054_034,4up3p-pee46-xxzai-iti35-7z6qd-nicmq-a2h3c-26od2-3xkol-ll6dm-kqe,1573b709e874fb76194fd2789286014b58246ab09f4bc7a10d03fc0d929f49eb,300_000_000
xfysm-iqkor-uwiaa-aaaaa-cmaca-uaqca-aaanp-q,1_643_424_495_464_643_847,ae6xa-tkxgr-surbr-4xvty-mwcrz-vgi4n-2bngg-svfol-rrqfj-6b6fl-7qe,2874b195e76e94a366c37f31d83dae3a0cd6ea339d222084868532f16aabd621,200_000_000
ry3xs-rykor-uwiaa-aaaaa-cmaca-uaqca-aaaql-q,1_643_433_149_770_126_324,szeba-eyoxk-r27qz-xcbuk-atpzh-54xjw-emgsc-dej4h-ral7v-ysom5-iqe,dfa44d9f442bfe1971954d3576fc4743a7cf94496d1725ac96645e4d2f7a6163,140_000_000
nqiwp-rqkor-uwiaa-aaaaa-cmaca-uaqca-aaan6-q,1_643_444_557_677_907_799,cooeb-lqaps-wqr4n-idyov-fyjww-4xtpj-srxiv-wlntd-jio6a-jikzj-dqe,34fb6a0742e6865b092c6a0dc08f1b99d49a91435c03ba807c03b2fc03e9454f,200_000_000
vhntn-dakor-uwiaa-aaaaa-cmaca-uaqca-aaazf-a,1_643_456_666_845_262_418,2gaq6-at7qs-dos33-nxgso-ther4-tcbkc-wbcrp-ko4zn-33vo2-5b3ue-cqe,071043d859456956f0d8155bb857f5c689273acdcd0d4f57cb7dc88405cc61db,100_000_000
xk325-wqkor-uwiaa-aaaaa-cmaca-uaqca-aaazj-a,1_643_456_775_539_225_967,2gaq6-at7qs-dos33-nxgso-ther4-tcbkc-wbcrp-ko4zn-33vo2-5b3ue-cqe,a59335e09b978ab3227e13a056c0bffeb1798968ab28260988ad5eb22fcc2512,100_000_000
z42g5-yykor-uwiaa-aaaaa-cmaca-uaqca-aaacs-q,1_643_460_612_709_673_808,itfbu-qdru6-pullv-kebw6-jpkor-v63la-ecz33-3gf5z-vjlqi-abo3z-nqe,4cd422e1fb21e839679567dcd7f27b6c173e2d8c1282186ca76c8b28332ed530,128_000_000
qnkmr-4ikor-uwiaa-aaaaa-cmaca-uaqca-aabsx-q,1_643_460_705_643_827_371,z4vdq-26shu-cyktk-vlrlj-l4hgg-rzo64-bfsyr-5uzzg-yswqx-tr36d-bae,4cd422e1fb21e839679567dcd7f27b6c173e2d8c1282186ca76c8b28332ed530,135_000_000
gnr6r-7qkor-uwiaa-aaaaa-cmaca-uaqca-aaalj-a,1_643_461_868_577_243_009,msbfc-ptizi-3culb-ko63y-ixqmb-rjtio-6e364-obz65-bc6gm-ppnjs-qae,a49c00da2fad4c7a309fe5e3b6b65175f60e0865fc0f6d33e74587f4196272bf,114_999_999
e7533-yakor-uwiaa-aaaaa-cmaca-uaqca-aaaf2-a,1_643_462_136_841_979_035,szzes-syxej-flsyc-m6tuq-ccqgp-z3k7u-gb75p-7tyhe-jf5j6-vztih-oqe,28df86507c3731d64fda5f2d895aba031f657d9031dfdff48c2ade3fc1f04c6b,120_000_000
eyqmz-zqkor-uwiaa-aaaaa-cmaca-uaqca-aaae2-q,1_643_462_579_834_457_360,cqgbp-x5lzd-o5oaq-bgtra-molsb-qxe4o-lmp6t-jp5tg-zppel-pvfls-7qe,6423375c31aac1fcf49e07bdad180f08fea40b0c2ba315766682129db3d59302,150_000_000
qtplj-rikor-uwiaa-aaaaa-cmaca-uaqca-aaakw-a,1_643_469_440_664_263_133,k562j-z2fzg-zr7gy-bg623-5a5dm-qmpvi-dijuk-oowda-ttwd5-rewf4-iqe,527f4857f88275bfd38cf471c51f3506e68e9fc173e9223407ec250a99c80cde,130_000_000
cygdu-xqkor-uwiaa-aaaaa-cmaca-uaqca-aaajq-a,1_643_469_484_523_146_154,mwids-ujych-edhgn-qxbv5-3ur5x-h7pmb-i2kb6-vlhmy-kji2a-2t5kp-xqe,527f4857f88275bfd38cf471c51f3506e68e9fc173e9223407ec250a99c80cde,160_000_000
bo5su-oqkor-uwiaa-aaaaa-cmaca-uaqca-aaajy-a,1_643_473_333_077_582_492,ae6xa-tkxgr-surbr-4xvty-mwcrz-vgi4n-2bngg-svfol-rrqfj-6b6fl-7qe,1fca25ec6d1b99ab09b94c32693db670ae40305074d1c381c1a82c2d799be640,210_000_000
aigwm-eikor-uwiaa-aaaaa-cmaca-uaqca-aaaj6-a,1_643_486_198_391_869_367,2mide-3usaw-mazvp-bitor-6ox5f-dgfq6-nmoqf-lxk66-jnycn-dmex6-wqe,5207daa6bab0944e7568e2e89cbe415a97a454af6bef9c87494b7aa79e8887fd,280_000_000
3vvoi-fqkor-uwiaa-aaaaa-cmaca-uaqca-aaa3e-q,1_643_505_564_203_300_435,uzsnp-5dx7h-2sg6o-e4cvv-ripaj-r6ve5-fnoqa-krc3g-k5uxy-xdshm-mae,1b07d6d3410a112aa78be3d2279255783e2018b7dd75cdf1c9d834067a9ee214,124_000_000
w7o2s-iakor-uwiaa-aaaaa-cmaca-uaqca-aaala-q,1_643_522_713_264_973_044,2dne4-ncgvw-bn4ur-ecs5y-unxgv-zdflp-4kisg-lbcql-636n7-ydlci-jae,eb4d917589b8a0128ff11cd4520c1aa4f1bf855c440e887e37b6fad831eb5bd6,125_000_000
waxat-lakor-uwiaa-aaaaa-cmaca-uaqca-aaavt-a,1_643_522_828_362_423_816,nuu6i-mczag-56pd2-qbwz4-jlar6-zplbs-ioq7v-bucyr-bzqm7-dkbrv-mqe,eb4d917589b8a0128ff11cd4520c1aa4f1bf855c440e887e37b6fad831eb5bd6,200_000_000
2vyn4-cykor-uwiaa-aaaaa-cmaca-uaqca-aaa4j-a,1_643_529_376_348_606_057,kfqw2-ekc26-gimam-5wv4t-ulvqf-5ickc-ip7ge-qiqko-tlpb2-matjx-hqe,7085f7970aa793cf5eb3a7d41698dd213749130341c3faf96439aa9b8d3e15f9,135_000_000
qmwri-sikor-uwiaa-aaaaa-cmaca-uaqca-aaauf-q,1_643_533_139_259_568_652,5sxqr-iv2ti-d4ouq-js3al-ahkwd-v33kq-jnaql-nwryx-25axg-dajho-mae,14f8baa65eb528bf5290d7618a05fe83b4da4ac4e7496d829f20d34d69167e3e,200_000_000
kujni-bakor-uwiaa-aaaaa-cmaca-uaqca-aaaop-a,1_643_534_652_964_232_655,zbuoh-anpsa-vx75p-22wi7-uzj6p-vu4fn-jvv3a-cxzxa-5m76z-clijr-lqe,b8fa102ee3b5abe25d99e16fa9c5aa8be3ecd327409029f5911ea70e5afaddd3,350_000_000
u7u52-gykor-uwiaa-aaaaa-cmaca-uaqca-aaab3-q,1_643_534_695_374_067_830,mnaf2-iiyuo-cseaj-zb5vn-o3qup-nqz26-zs34m-nmnd5-3cyus-b6ukb-nqe,b8fa102ee3b5abe25d99e16fa9c5aa8be3ecd327409029f5911ea70e5afaddd3,390_000_000
mr5to-lykor-uwiaa-aaaaa-cmaca-uaqca-aaa4u-q,1_643_536_142_762_729_463,3ukx4-4tkfp-a25hi-vw2wm-pnpp4-qv5na-wysob-icx3f-3ahwo-flydu-tqe,52aee3426de2139f251e5504b72c78747f73d1c03511e4a8998746c97f37d3aa,129_000_000
tbonx-rqkor-uwiaa-aaaaa-cmaca-uaqca-aaadi-q,1_643_550_408_358_694_335,bignb-lvv6k-agt5x-dfrct-mq52h-dsbay-trz6a-zotgv-jymtb-mvb2m-gqe,527f4857f88275bfd38cf471c51f3506e68e9fc173e9223407ec250a99c80cde,50_000_000
533z2-zqkor-uwiaa-aaaaa-cmaca-uaqca-aaaed-q,1_643_552_637_407_064_448,f3ro4-bx33r-kq4w2-hlq5g-n4csg-5xk3k-nenxm-6njl4-ra6cf-opgg4-aae,52aee3426de2139f251e5504b72c78747f73d1c03511e4a8998746c97f37d3aa,110_000_000
lgr2f-6akor-uwiaa-aaaaa-cmaca-uaqca-aaa5g-a,1_643_561_925_794_334_123,7efx2-bzc4i-tcjnf-mzjv3-s72x2-7jdor-okpd3-6xqi6-zjcnx-3jxez-wqe,39294f6e8cba436a3ba706f3339995447024010079b7d611fddb68a63112acea,300_000_000
4jaym-xqkor-uwiaa-aaaaa-cmaca-uaqca-aaahg-a,1_643_572_631_792_344_523,hluqd-lisnt-vaqex-vknco-rtwqy-esech-f5a7n-nx4dg-ww4tp-t2s62-4qe,a49c00da2fad4c7a309fe5e3b6b65175f60e0865fc0f6d33e74587f4196272bf,100_000_000
ekgo3-qykor-uwiaa-aaaaa-cmaca-uaqca-aaaas-q,1_643_576_653_903_167_842,iqekc-5dr5e-cvoc7-wevgk-6nkg3-roz7h-lqdbx-woghn-6zqsz-tmsxl-eae,baac4cb585ba5d938549856ff8770e649847625520bddc332907d34e25612e8e,150_000_000
p7spn-qikor-uwiaa-aaaaa-cmaca-uaqca-aaadp-q,1_643_614_067_671_232_736,ejxfh-5s5tj-5eq4p-qzcxx-s7tlw-j2yll-dcms7-nmh3h-ykher-lipmf-3qe,a49c00da2fad4c7a309fe5e3b6b65175f60e0865fc0f6d33e74587f4196272bf,110_000_000
hjgk3-bakor-uwiaa-aaaaa-cmaca-uaqca-aaafs-a,1_643_619_390_891_409_688,25xcp-su5l5-fnnxs-37e7h-wfpvs-ajggr-4c5zy-nanxr-ryvpq-xrxoq-iqe,39294f6e8cba436a3ba706f3339995447024010079b7d611fddb68a63112acea,250_000_000
cxbqj-2qkor-uwiaa-aaaaa-cmaca-uaqca-aabnd-a,1_643_619_833_567_331_337,7p744-4ewcv-zihwb-c7i3j-qckt2-oj2wz-x2f5p-yl5zo-inshu-oqtlo-6qe,a49c00da2fad4c7a309fe5e3b6b65175f60e0865fc0f6d33e74587f4196272bf,114_999_999
zydhy-qakor-uwiaa-aaaaa-cmaca-uaqca-aaa3i-q,1_643_641_554_044_289_143,gwcvn-np3qq-x7msy-qsymh-ebz3b-ybrga-xd6fm-6vcpt-ty46l-3tqll-bqe,527f4857f88275bfd38cf471c51f3506e68e9fc173e9223407ec250a99c80cde,174_000_000
uvvea-4akor-uwiaa-aaaaa-cmaca-uaqca-aaakm-a,1_643_644_752_522_670_068,ueqzu-oofis-or5fi-jm4uw-bkoh4-anixr-vnd5z-k674x-ghtrl-f3bky-cae,ed8524bc916001cbc7b1e1b9e5c75b99906084352589e28940d3581e7e5562b1,190_000_000
b74qk-7qkor-uwiaa-aaaaa-cmaca-uaqca-aaafg-a,1_643_658_102_827_947_778,vaeai-d3mgr-o7wgf-3mnc3-3btut-elc3p-soegj-yhuye-zwz3k-nmsj3-pae,7ed254e3169e1335c5340129f7d946986358af9cb21b47cc7268f3c284089cf0,144_000_000
2yude-zqkor-uwiaa-aaaaa-cmaca-uaqca-aaaw6-a,1_643_687_264_182_213_772,4ub22-33vs7-qviau-glra3-vm6wb-3kfhp-zssen-sniqi-c4opp-l2lam-eae,9805ed18d7b85868894035e602e20faad616e3feeed61b5d87fa26f976b37387,120_000_000
jp5el-sikor-uwiaa-aaaaa-cmaca-uaqca-aaau4-q,1_643_687_352_620_534_895,zbuoh-anpsa-vx75p-22wi7-uzj6p-vu4fn-jvv3a-cxzxa-5m76z-clijr-lqe,9805ed18d7b85868894035e602e20faad616e3feeed61b5d87fa26f976b37387,125_000_000
kd2tw-oqkor-uwiaa-aaaaa-cmaca-uaqca-aabvp-a,1_643_687_404_749_260_726,kwhoq-kk3rg-u5zlo-odwsl-keebv-zalkd-wakdp-lz2v6-4t7i2-z34w2-hae,9805ed18d7b85868894035e602e20faad616e3feeed61b5d87fa26f976b37387,219_000_000
e7zax-lakor-uwiaa-aaaaa-cmaca-uaqca-aabvp-q,1_643_687_459_710_355_340,risxb-ndc7p-5onnb-5zzof-wtptr-74e3x-cbrgl-eed7x-gtx3v-pwqxj-sae,9805ed18d7b85868894035e602e20faad616e3feeed61b5d87fa26f976b37387,220_000_000
cprgg-lakor-uwiaa-aaaaa-cmaca-uaqca-aaacf-q,1_643_687_680_954_729_335,yfseg-notj2-c7rwz-ezndz-5umbu-6l2pe-vaf3r-j7tyk-x3gzf-2ezw6-yqe,9805ed18d7b85868894035e602e20faad616e3feeed61b5d87fa26f976b37387,200_000_000
zggaa-5akor-uwiaa-aaaaa-cmaca-uaqca-aabdj-a,1_643_707_379_879_992_822,wagdl-r7aij-avnh4-keoca-jp3bh-5h6i3-3nasl-uo2b4-lclch-bvngd-pae,7ed254e3169e1335c5340129f7d946986358af9cb21b47cc7268f3c284089cf0,157_000_000
omrio-dikor-uwiaa-aaaaa-cmaca-uaqca-aaawn-q,1_643_709_783_466_081_056,zbuoh-anpsa-vx75p-22wi7-uzj6p-vu4fn-jvv3a-cxzxa-5m76z-clijr-lqe,7e6c6c188cac1bee498a70b0baf1eef42484abf37cf1ab25c17107d135b80fb7,125_000_000
yr3lr-eykor-uwiaa-aaaaa-cmaca-uaqca-aaapi-a,1_643_747_943_228_405_630,6fq7x-eav67-zyvam-eubhr-epz5h-ukzyc-jbcs3-dcr24-yf47t-al2t4-6qe,7085f7970aa793cf5eb3a7d41698dd213749130341c3faf96439aa9b8d3e15f9,215_000_000
trxj4-5qkor-uwiaa-aaaaa-cmaca-uaqca-aaazr-a,1_643_784_274_124_208_459,2gaq6-at7qs-dos33-nxgso-ther4-tcbkc-wbcrp-ko4zn-33vo2-5b3ue-cqe,38d0c913eed3c4b2ae366b6f4a2e6e9117b2fd7fc4ce017acd636469b13f5a4e,249_999_990
2mugk-5ikor-uwiaa-aaaaa-cmaca-uaqca-aaav5-q,1_643_792_458_000_707_032,wxlmm-esk6f-5fx4t-eala4-fycpx-gw3c7-g3of5-rxz54-hwk73-t3m5k-eae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,110_000_000
kak65-uykor-uwiaa-aaaaa-cmaca-uaqca-aaa5a-a,1_643_792_523_010_361_475,ia4zf-lmswl-2sulb-svsgm-la2nn-6xnd7-szb3h-7nqjk-b46cg-43xz3-dqe,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,120_000_000
mwtsx-3ikor-uwiaa-aaaaa-cmaca-uaqca-aaany-q,1_643_792_759_022_990_216,h5dhi-tmikr-brphf-u6xaz-om4r2-f74i5-d7dki-vzgyr-5re4i-rkwy7-pae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,120_000_000
5ypp5-qykor-uwiaa-aaaaa-cmaca-uaqca-aaa4z-a,1_643_793_079_879_810_763,ikl2p-5l5lt-4hht3-2fn3f-why5f-e2swb-7zidm-kaffh-vxey4-5ds6n-mae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,130_000_000
a52o3-oqkor-uwiaa-aaaaa-cmaca-uaqca-aabmp-q,1_643_793_364_941_468_747,ikl2p-5l5lt-4hht3-2fn3f-why5f-e2swb-7zidm-kaffh-vxey4-5ds6n-mae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,135_000_000
xttkh-2akor-uwiaa-aaaaa-cmaca-uaqca-aabai-a,1_643_793_417_407_699_922,5nqnp-jhvlv-sjh5q-5ueoy-ngmqn-cytqq-k5n6y-he7hb-ltxta-opi5o-2qe,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,140_000_000
dqf7t-pikor-uwiaa-aaaaa-cmaca-uaqca-aaa33-q,1_643_793_495_776_017_988,plpmy-yqtct-sgdi3-itk3z-xzrpu-ddivb-ofg62-6ynbo-blffa-lswok-aqe,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,140_000_000
vkclo-jikor-uwiaa-aaaaa-cmaca-uaqca-aaad6-q,1_643_793_531_579_186_259,l6op5-dkvy7-7j7kp-7xljm-c5tj2-7yk3c-5xb5v-jm66m-zh7ar-bbous-hqe,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,124_000_000
i3uz5-cykor-uwiaa-aaaaa-cmaca-uaqca-aabah-a,1_643_793_587_038_527_228,u7xjb-5shyc-wpmsg-b6lqv-5uwol-z5mdm-fnk5p-gfknl-mwzeu-d2g3f-3ae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,150_000_000
7xrnt-cakor-uwiaa-aaaaa-cmaca-uaqca-aabc5-q,1_643_793_646_032_430_889,w3iuz-mtqym-slupp-nz7ih-7actb-lrxyu-6trl5-25igs-qh3md-ru3bx-lae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,150_000_000
fx24q-tykor-uwiaa-aaaaa-cmaca-uaqca-aabhe-a,1_643_793_763_628_312_687,gvzvu-qzlic-jyz56-iyaz6-4go4y-gm5gn-unbp4-75zle-t4qdg-wymww-5qe,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,150_000_000
ulxop-takor-uwiaa-aaaaa-cmaca-uaqca-aaasu-q,1_643_793_834_972_731_479,ix6bl-4l5hx-xnq2l-txxem-oiiqk-hysds-ndj45-qcwig-tz5mw-33bg7-qae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,150_000_000
s3yfj-rakor-uwiaa-aaaaa-cmaca-uaqca-aaafh-q,1_643_793_899_191_553_785,ey7y5-zsrc3-gbk56-orqwu-fkcyb-dvqax-pisru-qonmb-s73xw-cia44-kae,9cb93a579f50616a7860ebe5b78b6c0b75454d7e537e8181fb3bf3c8a491116c,150_000_000
